TimestampUTC,PhaseName
2018-01-01 00:00:00+00:00,Creciente Gibosa
2018-01-02 02:25:00+00:00,Luna Llena
2018-01-05 08:05:00+00:00,Menguante Gibosa
2018-01-08 22:26:00+00:00,Cuarto Menguante
2018-01-12 22:29:00+00:00,Menguante Cóncava
2018-01-17 02:18:00+00:00,Luna Nueva
2018-01-21 03:46:00+00:00,Creciente Cóncava
2018-01-24 22:21:00+00:00,Cuarto Creciente
2018-01-28 08:13:00+00:00,Creciente Gibosa
2018-01-31 13:27:00+00:00,Luna Llena
2018-02-03 21:49:00+00:00,Menguante Gibosa
2018-02-07 15:54:00+00:00,Cuarto Menguante
2018-02-11 18:36:00+00:00,Menguante Cóncava
2018-02-15 21:06:00+00:00,Luna Nueva
2018-02-19 17:49:00+00:00,Creciente Cóncava
2018-02-23 08:10:00+00:00,Cuarto Creciente
2018-02-26 17:18:00+00:00,Creciente Gibosa
2018-03-02 00:52:00+00:00,Luna Llena
2018-03-05 13:13:00+00:00,Menguante Gibosa
2018-03-09 11:20:00+00:00,Cuarto Menguante
2018-03-13 14:45:00+00:00,Menguante Cóncava
2018-03-17 13:12:00+00:00,Luna Nueva
2018-03-21 04:21:00+00:00,Creciente Cóncava
2018-03-24 15:36:00+00:00,Cuarto Creciente
2018-03-28 01:30:00+00:00,Creciente Gibosa
2018-03-31 12:37:00+00:00,Luna Llena
2018-04-04 05:47:00+00:00,Menguante Gibosa
2018-04-08 07:18:00+00:00,Cuarto Menguante
2018-04-12 09:01:00+00:00,Menguante Cóncava
2018-04-16 01:58:00+00:00,Luna Nueva
2018-04-19 12:14:00+00:00,Creciente Cóncava
2018-04-22 21:46:00+00:00,Cuarto Creciente
2018-04-26 09:31:00+00:00,Creciente Gibosa
2018-04-30 00:59:00+00:00,Luna Llena
2018-05-03 23:01:00+00:00,Menguante Gibosa
2018-05-08 02:09:00+00:00,Cuarto Menguante
2018-05-12 00:08:00+00:00,Menguante Cóncava
2018-05-15 11:48:00+00:00,Luna Nueva
2018-05-18 18:42:00+00:00,Creciente Cóncava
2018-05-22 03:50:00+00:00,Cuarto Creciente
2018-05-25 18:14:00+00:00,Creciente Gibosa
2018-05-29 14:20:00+00:00,Luna Llena
2018-06-02 16:09:00+00:00,Menguante Gibosa
2018-06-06 18:32:00+00:00,Cuarto Menguante
2018-06-10 12:02:00+00:00,Menguante Cóncava
2018-06-13 19:44:00+00:00,Luna Nueva
2018-06-17 00:54:00+00:00,Creciente Cóncava
2018-06-20 10:51:00+00:00,Cuarto Creciente
2018-06-24 04:36:00+00:00,Creciente Gibosa
2018-06-28 04:53:00+00:00,Luna Llena
2018-07-02 08:16:00+00:00,Menguante Gibosa
2018-07-06 07:51:00+00:00,Cuarto Menguante
2018-07-09 21:21:00+00:00,Menguante Cóncava
2018-07-13 02:48:00+00:00,Luna Nueva
2018-07-16 07:52:00+00:00,Creciente Cóncava
2018-07-19 19:53:00+00:00,Cuarto Creciente
2018-07-23 17:23:00+00:00,Creciente Gibosa
2018-07-27 20:21:00+00:00,Luna Llena
2018-07-31 22:31:00+00:00,Menguante Gibosa
2018-08-04 18:18:00+00:00,Cuarto Menguante
2018-08-08 05:02:00+00:00,Menguante Cóncava
2018-08-11 09:58:00+00:00,Luna Nueva
2018-08-14 16:29:00+00:00,Creciente Cóncava
2018-08-18 07:49:00+00:00,Cuarto Creciente
2018-08-22 08:49:00+00:00,Creciente Gibosa
2018-08-26 11:57:00+00:00,Luna Llena
2018-08-30 10:35:00+00:00,Menguante Gibosa
